SupplierID,SupplierName,ProductID,LeadTime,ReliabilityScore,UnitCost
Supplier_301,Dairy Farms Inc.,Prod_001,2,0.97,2.7
Supplier_301,Dairy Farms Inc.,Prod_002,5,0.81,3.57
Supplier_301,Dairy Farms Inc.,Prod_003,7,0.75,3.86
Supplier_301,Dairy Farms Inc.,Prod_004,4,0.83,123.6
Supplier_301,Dairy Farms Inc.,Prod_005,6,0.94,162.0
Supplier_301,Dairy Farms Inc.,Prod_006,3,0.81,6.5
Supplier_301,Dairy Farms Inc.,Prod_007,3,0.91,2.04
Supplier_301,Dairy Farms Inc.,Prod_008,6,0.76,293.02
Supplier_301,Dairy Farms Inc.,Prod_009,6,0.81,23.5
Supplier_301,Dairy Farms Inc.,Prod_010,2,0.88,18.87
Supplier_302,Aquafina Distributors,Prod_001,4,0.84,2.42
Supplier_302,Aquafina Distributors,Prod_002,8,0.88,4.07
Supplier_302,Aquafina Distributors,Prod_003,9,0.95,4.16
Supplier_302,Aquafina Distributors,Prod_004,6,0.92,114.0
Supplier_302,Aquafina Distributors,Prod_005,7,0.96,180.0
Supplier_302,Aquafina Distributors,Prod_006,9,0.84,6.24
Supplier_302,Aquafina Distributors,Prod_007,4,0.84,1.78
Supplier_302,Aquafina Distributors,Prod_008,2,0.94,290.03
Supplier_302,Aquafina Distributors,Prod_009,5,0.97,27.25
Supplier_302,Aquafina Distributors,Prod_010,4,0.86,17.02
Supplier_303,Equate Pharma Corp,Prod_001,6,0.82,2.42
Supplier_303,Equate Pharma Corp,Prod_002,4,0.8,4.14
Supplier_303,Equate Pharma Corp,Prod_003,9,0.93,3.86
Supplier_303,Equate Pharma Corp,Prod_004,3,0.97,132.0
Supplier_303,Equate Pharma Corp,Prod_005,3,0.85,194.4
Supplier_303,Equate Pharma Corp,Prod_006,4,0.91,7.09
Supplier_303,Equate Pharma Corp,Prod_007,2,0.93,2.02
Supplier_303,Equate Pharma Corp,Prod_008,6,0.94,296.01
Supplier_303,Equate Pharma Corp,Prod_009,9,0.77,26.5
Supplier_303,Equate Pharma Corp,Prod_010,3,0.78,18.5
Supplier_304,Mainstays Furnishings,Prod_001,7,0.98,2.42
Supplier_304,Mainstays Furnishings,Prod_002,2,0.95,3.61
Supplier_304,Mainstays Furnishings,Prod_003,8,0.98,4.41
Supplier_304,Mainstays Furnishings,Prod_004,7,0.91,120.0
Supplier_304,Mainstays Furnishings,Prod_005,5,0.88,176.4
Supplier_304,Mainstays Furnishings,Prod_006,3,0.83,6.43
Supplier_304,Mainstays Furnishings,Prod_007,6,0.75,1.96
Supplier_304,Mainstays Furnishings,Prod_008,3,0.92,313.95
Supplier_304,Mainstays Furnishings,Prod_009,8,0.9,26.25
Supplier_304,Mainstays Furnishings,Prod_010,6,0.8,18.13
Supplier_305,onn. Electronics Manufacturing,Prod_001,5,0.82,2.68
Supplier_305,onn. Electronics Manufacturing,Prod_002,7,0.85,4.03
Supplier_305,onn. Electronics Manufacturing,Prod_003,6,0.97,3.82
Supplier_305,onn. Electronics Manufacturing,Prod_004,6,0.76,129.6
Supplier_305,onn. Electronics Manufacturing,Prod_005,14,0.65,153.0
Supplier_305,onn. Electronics Manufacturing,Prod_006,5,0.77,6.57
Supplier_305,onn. Electronics Manufacturing,Prod_007,5,0.77,1.84
Supplier_305,onn. Electronics Manufacturing,Prod_008,2,0.91,296.01
Supplier_305,onn. Electronics Manufacturing,Prod_009,6,0.91,24.5
Supplier_305,onn. Electronics Manufacturing,Prod_010,8,0.76,17.76
Supplier_306,Pfizer Labs Corp,Prod_001,9,0.76,2.45
Supplier_306,Pfizer Labs Corp,Prod_002,9,0.89,3.65
Supplier_306,Pfizer Labs Corp,Prod_003,5,0.9,4.12
Supplier_306,Pfizer Labs Corp,Prod_004,5,0.88,110.4
Supplier_306,Pfizer Labs Corp,Prod_005,2,0.81,178.2
Supplier_306,Pfizer Labs Corp,Prod_006,8,0.87,6.24
Supplier_306,Pfizer Labs Corp,Prod_007,5,0.89,1.88
Supplier_306,Pfizer Labs Corp,Prod_008,6,0.96,316.94
Supplier_306,Pfizer Labs Corp,Prod_009,3,0.85,25.5
Supplier_306,Pfizer Labs Corp,Prod_010,2,0.85,20.17
Supplier_307,Nestle Foods,Prod_001,3,0.88,2.33
Supplier_307,Nestle Foods,Prod_002,9,0.84,4.03
Supplier_307,Nestle Foods,Prod_003,9,0.98,4.12
Supplier_307,Nestle Foods,Prod_004,3,0.84,130.8
Supplier_307,Nestle Foods,Prod_005,4,0.88,163.8
Supplier_307,Nestle Foods,Prod_006,2,0.85,6.17
Supplier_307,Nestle Foods,Prod_007,9,0.77,2.06
Supplier_307,Nestle Foods,Prod_008,6,0.98,328.9
Supplier_307,Nestle Foods,Prod_009,6,0.88,26.25
Supplier_307,Nestle Foods,Prod_010,3,0.95,17.57
Supplier_308,HP Enterprise Sourcing,Prod_001,7,0.8,2.38
Supplier_308,HP Enterprise Sourcing,Prod_002,6,0.89,3.61
Supplier_308,HP Enterprise Sourcing,Prod_003,2,0.92,3.82
Supplier_308,HP Enterprise Sourcing,Prod_004,8,0.78,123.6
Supplier_308,HP Enterprise Sourcing,Prod_005,3,0.95,207.0
Supplier_308,HP Enterprise Sourcing,Prod_006,3,0.86,6.96
Supplier_308,HP Enterprise Sourcing,Prod_007,3,0.95,2.0
Supplier_308,HP Enterprise Sourcing,Prod_008,6,0.77,316.94
Supplier_308,HP Enterprise Sourcing,Prod_009,2,0.78,22.75
Supplier_308,HP Enterprise Sourcing,Prod_010,8,0.93,19.05
Supplier_309,Springs Window Fashions,Prod_001,4,0.8,2.33
Supplier_309,Springs Window Fashions,Prod_002,5,0.98,3.88
Supplier_309,Springs Window Fashions,Prod_003,3,0.84,4.16
Supplier_309,Springs Window Fashions,Prod_004,8,0.92,121.2
Supplier_309,Springs Window Fashions,Prod_005,2,0.93,176.4
Supplier_309,Springs Window Fashions,Prod_006,8,0.87,6.76
Supplier_309,Springs Window Fashions,Prod_007,6,0.78,2.16
Supplier_309,Springs Window Fashions,Prod_008,3,0.93,272.09
Supplier_309,Springs Window Fashions,Prod_009,6,0.98,25.0
Supplier_309,Springs Window Fashions,Prod_010,6,0.8,18.87
Supplier_310,Nike Supply Logistics,Prod_001,4,0.77,2.33
Supplier_310,Nike Supply Logistics,Prod_002,8,0.88,3.72
Supplier_310,Nike Supply Logistics,Prod_003,9,0.9,3.95
Supplier_310,Nike Supply Logistics,Prod_004,9,0.84,128.4
Supplier_310,Nike Supply Logistics,Prod_005,4,0.9,167.4
Supplier_310,Nike Supply Logistics,Prod_006,3,0.8,6.89
Supplier_310,Nike Supply Logistics,Prod_007,3,0.81,1.86
Supplier_310,Nike Supply Logistics,Prod_008,6,0.88,301.99
Supplier_310,Nike Supply Logistics,Prod_009,5,0.8,24.25
Supplier_310,Nike Supply Logistics,Prod_010,7,0.83,17.76
